		Ax		Ay		Az
0.031075239181518555		-1.99		9.36		-3.63
0.046477556228637695		-1.97		9.35		-3.56
0.06209111213684082		-1.96		9.33		-3.67
0.09356188774108887		-1.94		9.44		-3.67
0.10893559455871582		-2.00		9.35		-3.76
0.12456130981445312		-2.03		9.29		-3.88
0.14052200317382812		-2.02		9.38		-3.82
0.17166614532470703		-1.99		9.41		-3.81
0.21832275390625		-2.07		9.27		-3.73
0.2339479923248291		-2.05		9.32		-3.79
0.24986577033996582		-2.02		9.25		-3.78
0.28092527389526367		-2.12		9.28		-3.81
0.3277103900909424		-2.04		9.39		-3.84
0.3436553478240967		-2.06		9.45		-3.86
0.42146992683410645		-2.06		9.32		-3.86
0.43709397315979004		-2.08		9.16		-3.82
0.4839744567871094		-2.03		9.22		-3.72
0.5152268409729004		-1.95		9.28		-3.73
0.5464797019958496		-1.97		9.22		-3.73
0.5621273517608643		-1.86		9.40		-3.81
0.593360185623169		-1.88		9.20		-3.83
0.6246140003204346		-1.73		9.06		-3.90
0.6558690071105957		-1.47		9.06		-3.84
0.6871559619903564		-1.14		8.73		-3.85
0.7184348106384277		-1.04		8.48		-3.81
0.7496261596679688		-0.74		8.61		-3.57
0.7920529842376709		-0.35		8.68		-3.62
0.807680606842041		-0.22		8.61		-3.72
0.8389334678649902		-0.23		8.43		-3.91
0.8701879978179932		0.39		8.21		-3.60
0.9170668125152588		0.30		7.84		-3.14
0.9483191967010498		0.17		7.27		-3.18
0.963947057723999		0.67		6.82		-2.86
0.99519944190979		0.97		6.38		-2.08
1.0264532566070557		0.85		6.65		-1.98
1.057706356048584		0.65		7.30		-2.46
1.0889601707458496		0.17		7.98		-2.45
1.1202495098114014		1.14		7.80		-2.82
1.1515662670135498		0.40		8.11		-2.91
1.1827194690704346		0.42		8.85		-2.25
1.213973045349121		2.04		7.89		-1.92
1.2452259063720703		1.28		7.69		-0.59
1.276479721069336		1.83		8.94		-0.73
1.3077692985534668		2.87		9.57		-0.85
1.339022159576416		2.55		8.79		0.94
1.3702764511108398		3.29		10.71		-1.30
1.401550531387329		3.02		10.86		-1.33
1.4640023708343506		-0.16		7.94		-1.73
1.510880470275879		2.63		10.20		1.32
1.5421319007873535		3.44		11.02		1.72
1.5733861923217773		2.16		10.67		-0.37
1.604640245437622		2.44		11.98		0.98
1.6359145641326904		3.13		12.48		2.30
1.6515707969665527		2.65		11.91		-0.25
1.6827726364135742		1.32		13.62		1.33
1.7140614986419678		1.91		11.04		2.54
1.74527907371521		0.61		12.14		2.04
1.760941743850708		-2.77		9.41		-5.17
1.7890756130218506		-0.68		8.79		-3.30
1.820329189300537		17.10		14.12		1.18
1.85162353515625		0.12		8.80		-8.05
1.8828370571136475		-1.49		16.27		2.51
1.8984625339508057		-1.73		16.03		5.31
1.9297163486480713		-2.09		11.95		-2.47
1.9609689712524414		2.23		13.85		-4.63
1.992222785949707		1.51		9.13		1.89
2.0234766006469727		-1.76		11.15		-2.52
2.0547707080841064		0.66		10.38		-1.14
2.0860283374786377		-0.97		10.00		-0.87
2.117236852645874		-0.99		10.08		-1.10
2.1641180515289307		1.32		10.31		-2.65
2.1797428131103516		-3.04		10.16		-1.10
2.21099591255188		-1.51		10.53		-2.90
2.242248773574829		1.31		9.91		-3.11
2.2735021114349365		-0.26		9.15		-2.51
2.304755449295044		-3.80		10.09		-1.44
2.336009979248047		2.65		10.18		-5.54
2.3672633171081543		1.42		10.23		-5.00
2.4141414165496826		-4.15		9.05		-3.36
2.4453952312469482		-1.39		9.27		-4.25
2.4766488075256348		1.19		10.67		-4.85
2.507901906967163		-2.40		9.59		-5.93
2.539191722869873		-5.56		8.36		-3.76
2.570408582687378		-4.52		9.55		-2.63
2.6016616821289062		-1.95		9.85		-4.43
2.632950782775879		-3.66		8.07		-3.23
2.664168357849121		-7.24		7.65		-3.78
2.6954610347747803		-4.56		9.26		-4.17
2.7266762256622314		-4.10		8.31		-4.39
2.757964611053467		-4.98		7.99		-2.23
2.8003153800964355		-5.17		7.73		-6.30
2.8159420490264893		-6.11		8.05		-5.50
2.8471949100494385		-5.89		6.75		-4.24
2.8784477710723877		-6.69		6.43		-4.25
2.909701108932495		-7.83		5.38		-1.86
2.940958261489868		-6.67		4.93		-4.89
2.9722213745117188		-7.00		5.83		-4.40
3.0034615993499756		-7.98		4.70		-1.84
3.081594467163086		-8.59		4.62		-1.91
3.1128475666046143		-7.73		4.65		-0.33
3.128523111343384		-8.35		5.36		4.36
3.1597280502319336		-9.05		4.24		-0.43
3.190981149673462		-9.88		2.95		-5.10
3.2222704887390137		-7.34		3.10		0.04
3.2534894943237305		-8.09		1.42		5.12
3.2691617012023926		-9.91		2.13		4.75
3.3004097938537598		-10.06		0.50		-2.34
3.3316214084625244		-8.62		0.98		-2.41
3.3628740310668945		-6.65		1.01		3.25
3.3785009384155273		-9.78		-0.76		8.30
3.4253809452056885		-13.04		-0.27		10.02
3.456634759902954		-12.04		0.96		-2.34
3.487924337387085		-7.77		1.67		-2.60
3.519179582595825		-4.29		1.35		3.94
3.550398826599121		-4.88		0.68		8.50
3.5816900730133057		-10.03		1.23		9.86
3.628551721572876		-12.72		0.25		4.32
3.6597819328308105		-14.00		-0.61		-4.99
3.6910338401794434		-7.93		4.16		5.04
3.722287178039551		-6.77		1.91		6.32
3.7535438537597656		-7.67		1.24		6.66
3.7798197269439697		-8.56		2.74		4.93
3.795485734939575		-9.48		2.18		3.86
3.82669997215271		-8.73		1.20		4.48
3.8579530715942383		-7.77		1.78		5.33
3.889206886291504		-8.48		1.78		4.82
3.904834270477295		-9.14		1.39		3.69
3.9360876083374023		-8.91		1.56		3.85
3.9673471450805664		-8.16		2.17		4.79
4.014220237731934		-8.31		2.16		5.06
4.045474052429199		-8.31		2.12		4.80
4.07672643661499		-8.95		1.95		5.16
4.108018636703491		-9.18		1.80		4.92
4.123643636703491		-9.18		1.71		4.33
4.154859781265259		-9.19		1.35		3.48
4.1861512660980225		-9.29		1.04		2.55
4.217408895492554		-9.07		1.22		3.25
4.248619794845581		-9.24		1.05		3.42
4.279910087585449		-9.33		0.94		3.17
4.311126232147217		-9.29		1.37		3.31
4.342417240142822		-9.02		1.64		3.80
4.373632431030273		-9.01		1.59		3.90
4.404923915863037		-9.02		1.72		4.14
4.4361772537231445		-9.15		1.54		3.86
4.4673943519592285		-9.21		1.34		3.57
4.483021259307861		-9.16		1.46		3.24
