		Ax		Ay		Az
0.0310976505279541		-1.93		9.33		-3.92
0.09360766410827637		-2.04		9.30		-3.98
0.10919547080993652		-2.05		9.25		-4.00
0.1560666561126709		-1.98		9.23		-3.77
0.171738862991333		-2.04		9.21		-3.82
0.1873304843902588		-2.04		9.29		-3.83
0.21857094764709473		-2.03		9.30		-3.85
0.24982476234436035		-2.04		9.31		-3.93
0.28256797790527344		-2.00		9.33		-3.88
0.3245830535888672		-1.95		9.33		-3.94
0.3401143550872803		-1.89		9.52		-3.84
0.3711824417114258		-1.76		9.34		-3.77
0.4024355411529541		-1.81		9.11		-3.83
0.44934844970703125		-1.75		9.31		-4.04
0.48056697845458984		-1.47		9.25		-3.96
0.5118200778961182		-1.29		9.03		-3.90
0.5431153774261475		-1.00		8.91		-3.72
0.5743238925933838		-0.69		8.85		-3.35
0.6212460994720459		-0.57		8.81		-3.52
0.6524672508239746		-0.32		8.40		-3.74
0.6837482452392578		-0.17		8.26		-3.55
0.715001106262207		0.41		8.27		-3.31
0.7462561130523682		1.17		7.93		-3.48
0.7774732112884521		1.05		6.87		-2.37
0.7931003570556641		1.06		5.97		-2.26
0.8243510723114014		0.62		5.95		-2.65
0.8556060791015625		0.13		6.89		-3.78
0.886857271194458		-0.11		9.04		-3.09
0.9181487560272217		0.69		8.49		-2.75
0.9493687152862549		1.09		7.65		-2.31
0.996248722076416		0.70		7.80		-2.00
1.0275344848632812		0.66		8.30		-3.51
1.0587518215179443		0.65		8.68		-3.73
1.0900063514709473		0.97		8.20		-2.24
1.1056358814239502		1.20		8.59		-2.08
1.1368858814239502		1.54		9.26		-2.83
1.1681389808654785		2.77		8.00		-1.93
1.1994285583496094		0.01		8.34		-3.43
1.2306456565856934		3.41		8.89		-0.22
1.2462811470031738		4.53		10.94		-0.95
1.2922651767730713		3.51		10.30		-0.30
1.3078970909118652		2.82		9.83		-1.27
1.3391828536987305		3.28		11.33		-1.11
1.3860630989074707		3.11		11.79		0.07
1.4172818660736084		3.28		12.42		-0.62
1.4485342502593994		2.38		13.42		0.47
