Time		Ax		Ay		Az
0.015574932098388672		-3.54		8.53		-4.50
0.015574932098388672		-3.51		8.56		-4.49
0.0780792236328125		-3.55		8.56		-4.42
0.0780792236328125		-3.54		8.46		-4.35
0.10932779312133789		-3.44		8.51		-4.39
0.1409296989440918		-3.52		8.51		-4.48
0.15639734268188477		-3.54		8.57		-4.56
0.18779587745666504		-3.54		8.58		-4.45
0.23437261581420898		-3.50		8.54		-4.43
0.2655923366546631		-3.51		8.43		-4.45
0.2814671993255615		-3.47		8.52		-4.37
0.312863826751709		-3.47		8.44		-4.36
0.3593556880950928		-3.54		8.48		-4.43
0.3906078338623047		-3.50		8.50		-4.56
0.43752598762512207		-3.49		8.31		-4.64
0.48436641693115234		-3.24		8.21		-4.69
0.5000898838043213		-3.28		8.01		-4.67
0.5312445163726807		-3.28		8.16		-4.84
0.5625016689300537		-3.28		8.05		-5.07
0.5937881469726562		-3.20		7.82		-4.70
0.625006914138794		-3.04		7.33		-4.62
0.6562936305999756		-2.73		7.14		-4.65
0.687546968460083		-2.43		6.81		-4.70
0.7188000679016113		-2.69		6.73		-4.77
0.750077486038208		-2.92		6.96		-5.61
0.7812709808349609		-3.06		7.83		-5.55
0.8281538486480713		-3.34		7.56		-5.31
0.8438198566436768		-2.71		7.61		-5.40
0.8906724452972412		-2.89		8.26		-4.24
0.9219129085540771		-1.68		9.52		-2.90
0.953202486038208		-1.91		9.51		-1.49
0.9844186305999756		-2.44		9.41		-3.16
1.015683650970459		-4.47		8.25		-3.47
1.0313003063201904		-4.38		9.58		-3.81
1.062556266784668		-4.50		7.62		-4.74
1.0938458442687988		-4.12		8.13		-3.47
1.1250593662261963		-4.07		7.60		-2.40
1.1563127040863037		-4.67		7.70		-3.17
1.1875662803649902		-5.50		8.09		-2.66
1.2344791889190674		-5.17		8.58		-2.83
1.2656989097595215		-3.70		7.86		-2.42
1.2969517707824707		-5.43		11.35		-2.70
1.3282053470611572		-3.73		9.64		-4.99
1.3594582080841064		-5.73		11.81		-3.58
1.390749216079712		-6.52		9.61		-3.77
1.4219996929168701		-5.00		8.16		-3.58
1.4532511234283447		-5.91		8.77		-2.86
1.484506607055664		-4.79		8.31		-1.70
1.5157725811004639		-4.69		8.22		-0.53
1.546978235244751		-5.29		9.05		-0.39
1.5782315731048584		-6.50		8.91		-0.57
1.6094846725463867		-5.74		9.62		1.25
1.6407368183135986		-6.08		10.59		1.44
1.6720280647277832		-6.71		9.72		0.56
1.7032818794250488		-6.05		9.65		1.09
1.734499216079712		-4.76		8.76		2.15
1.750124216079712		-4.07		8.90		3.05
1.7813775539398193		-3.70		9.04		3.56
1.8282594680786133		-3.78		8.27		2.70
1.8439264297485352		-5.25		8.06		2.30
1.8751733303070068		-5.65		8.54		2.08
1.9063920974731445		-5.38		8.42		2.07
1.9376919269561768		-4.98		7.88		1.55
1.9688975811004639		-5.33		8.52		1.06
2.0001509189605713		-4.54		8.14		1.76
2.0314061641693115		-3.46		8.76		2.24
2.09391188621521		-4.30		9.16		2.27
2.109539270401001		-4.60		8.16		1.72
2.1407909393310547		-4.67		7.22		2.55
2.1720800399780273		-7.76		8.04		4.48
2.203298807144165		-6.04		8.15		3.67
2.2345855236053467		-5.32		8.06		2.54
2.265803813934326		-5.34		8.37		2.27
2.297062635421753		-4.50		7.73		2.34
2.3126871585845947		-4.42		8.09		3.53
2.3439393043518066		-4.33		8.08		3.59
2.3751907348632812		-4.35		8.12		3.33
2.406479835510254		-4.24		8.40		3.31
2.4221060276031494		-4.36		8.71		2.91
2.4689853191375732		-4.67		8.88		2.89
2.500218629837036		-4.61		8.91		3.21
2.5315020084381104		-4.39		8.73		2.77
2.562711477279663		-4.65		8.65		2.40
2.578356981277466		-4.42		8.58		2.56
2.6096315383911133		-4.48		8.34		2.83
2.640845537185669		-4.78		8.20		2.78
2.6720988750457764		-4.99		8.28		2.79
2.7190117835998535		-4.88		8.28		2.50
2.750229597091675		-5.09		8.51		2.97
2.781498670578003		-4.82		8.83		2.89
2.812737464904785		-4.48		9.00		2.49
2.8439905643463135		-3.68		8.76		2.28
2.859656810760498		-4.36		8.89		3.37
