Time		Ax		Ay		Az
0.015596866607666016		-6.02		3.52		7.25
0.031262874603271484		-5.98		3.56		7.14
0.07811713218688965		-6.03		3.52		7.14
0.09372854232788086		-5.99		3.45		7.08
0.12528586387634277		-5.96		3.58		7.21
0.15623116493225098		-6.00		3.54		7.16
0.1721961498260498		-6.06		3.49		7.03
0.20334601402282715		-6.02		3.50		7.13
0.25039005279541016		-5.98		3.58		7.09
0.2658708095550537		-6.03		3.53		7.16
0.297133207321167		-6.03		3.49		7.20
0.32837796211242676		-5.99		3.55		7.07
0.35937952995300293		-5.95		3.51		7.22
0.3908848762512207		-5.96		3.53		7.19
0.43750977516174316		-6.02		3.56		7.13
0.468799352645874		-6.51		3.35		6.37
0.5000147819519043		-5.98		3.34		6.92
0.5313067436218262		-4.82		4.76		8.26
0.5781509876251221		-5.30		3.96		7.73
0.5937881469726562		-6.13		3.04		6.83
0.6250300407409668		-6.23		3.52		6.69
0.6562988758087158		-5.72		3.64		7.10
0.6875405311584473		-5.40		3.81		7.73
0.7187886238098145		-5.84		3.62		7.42
0.750077486038208		-6.15		3.46		6.86
0.7813327312469482		-5.89		3.94		6.97
0.8125848770141602		-5.81		4.01		7.58
0.8438501358032227		-5.59		4.51		7.40
0.8594870567321777		-6.02		4.06		6.31
0.9219357967376709		-5.91		3.86		7.07
0.937563419342041		-6.06		4.60		7.46
0.9688220024108887		-5.99		4.43		6.46
1.0156934261322021		-6.00		4.66		6.38
1.046952247619629		-6.06		4.90		6.54
1.0782170295715332		-6.11		4.84		6.32
1.0939035415649414		-5.90		5.02		6.37
1.1250810623168945		-5.77		5.34		6.44
1.1563363075256348		-6.25		5.67		5.44
1.1875882148742676		-6.20		5.66		3.72
1.2188422679901123		-5.98		7.07		3.76
1.2501306533813477		-6.13		6.99		3.81
1.2813878059387207		-6.26		6.49		3.50
1.2969770431518555		-5.79		7.09		3.26
1.328228235244751		-5.62		7.75		3.35
1.3595232963562012		-4.73		8.68		3.36
1.3907694816589355		-4.97		7.65		3.38
1.4219887256622314		-5.38		8.31		2.45
1.4532434940338135		-5.11		8.10		2.22
1.484494686126709		-4.50		8.06		3.56
1.531374216079712		-4.04		8.28		2.25
1.562669277191162		-3.86		8.75		1.90
1.593886375427246		-3.41		8.95		1.62
1.625133991241455		-4.06		9.62		1.33
1.6564006805419922		-4.78		9.02		-0.97
1.6876442432403564		-2.82		10.19		-0.36
1.7188944816589355		-2.77		10.38		-0.90
1.7501819133758545		-3.27		10.27		-0.75
1.7814390659332275		-2.60		9.47		-1.09
1.7970671653747559		-0.86		10.35		0.66
1.828282356262207		-4.32		10.98		-0.81
1.8595683574676514		-1.53		10.72		-1.52
1.8908274173736572		-1.86		8.51		-0.36
1.922039270401001		-2.99		9.57		-0.58
1.9533348083496094		-0.72		10.98		-2.58
1.9845867156982422		-0.76		11.50		-2.07
2.015836000442505		-1.53		11.34		-0.27
2.047053813934326		-0.31		12.58		0.10
2.0783424377441406		-0.90		9.51		-2.63
2.1096034049987793		-0.37		10.80		0.32
2.1564788818359375		-0.53		10.49		-0.70
2.2033309936523438		1.36		11.30		-4.09
2.2189486026763916		0.27		8.97		-7.19
2.250223398208618		2.02		9.32		-6.76
2.2814550399780273		2.88		9.09		-8.18
2.3127431869506836		1.38		9.56		-6.56
2.343961238861084		1.46		7.86		-5.18
2.3752522468566895		-0.54		8.25		-4.16
2.406505823135376		0.74		8.37		-4.57
2.422118902206421		0.11		7.95		-3.86
2.4690096378326416		-0.79		8.57		-3.40
2.5002639293670654		-0.88		8.76		-3.21
2.531480312347412		-0.23		9.40		-3.90
2.5627353191375732		-0.54		9.69		-4.15
2.5783607959747314		-0.42		9.38		-4.24
2.6252870559692383		-0.56		9.86		-4.18
2.656531810760498		-0.30		9.36		-3.96
2.6877810955047607		0.26		8.95		-3.26
2.7190024852752686		-0.69		8.98		-3.20
2.750256299972534		-0.89		9.13		-3.75
2.7815444469451904		-0.63		8.79		-3.65
2.828425884246826		-0.76		8.67		-3.25
2.859680414199829		-1.31		8.68		-3.18
2.890892267227173		-1.68		8.50		-3.45
2.9221858978271484		-1.84		8.55		-3.46
2.9534008502960205		-2.05		8.68		-3.63
2.969027042388916		-2.49		8.77		-3.41
3.0002801418304443		-2.37		8.77		-3.81
3.031571388244629		-2.42		9.20		-3.67
3.062821626663208		-2.39		9.38		-3.45
3.0940773487091064		-2.33		9.45		-3.66
3.1253113746643066		-2.27		9.61		-3.61
3.1565842628479004		-2.28		9.45		-3.40
3.1877999305725098		-2.23		9.40		-3.49
