Ax,Ay,Az,time
-2.29,9.39,-3.28,0.323817968
-2.32,9.33,-3.4,0.355317116
-2.24,9.41,-3.44,0.401949167
-2.29,9.41,-3.33,0.448829174
-2.27,9.31,-3.31,0.480082512
-2.29,9.29,-3.15,0.511338234
-2.22,9.34,-3.15,0.542631865
-2.15,9.29,-3.09,0.57388711
-2.09,9.56,-3.04,0.60509634
-1.97,9.44,-3.15,0.63634944
-1.98,8.98,-3.32,0.683265448
-1.77,9,-3.37,0.714490414
-1.24,8.96,-2.9,0.730144978
-0.84,8.43,-2.71,0.761363983
-0.75,7.78,-2.99,0.792660236
-0.6,7.16,-3.01,0.823869228
-0.41,6.77,-2.73,0.855141401
0.07,6.23,-2.04,0.886375666
0.12,6.63,-1.74,0.933255672
0.14,7.05,-2.65,0.964508295
0.39,7.18,-2.73,0.995761871
0.37,7.32,-2.72,1.038181782
0.57,7.7,-2.49,1.06947279
1.37,8.58,-2.29,1.085067034
1.13,9.16,-2.6,1.116314411
0.99,9.82,-3.03,1.147606134
1.48,10.21,-2.79,1.178857327
2.02,9.22,-1.79,1.19449234
1.87,10.76,-2.8,1.22574234
1.32,10.92,-2.96,1.25695467
1.88,9.84,-0.61,1.288208485
2.85,8.84,0.09,1.319462061
2.43,9.19,0.14,1.350753069
2.71,10.14,0.83,1.382004261
3.1,9.18,1.14,1.413258791
2.88,10.51,0.31,1.44447422
2.61,11.75,-0.23,1.475759983
3.42,12.55,1.64,1.50702405
2.45,12.42,1.35,1.569488287
3.57,12.42,2.37,1.616369009
4.52,11.98,4.13,1.647621393
3.41,11.89,4.14,1.678910494
2.7,10.43,2.47,1.710137129
1.43,9.59,2.03,1.72576642
1.57,11.06,1.21,1.757007122
0.58,10.03,1.44,1.788260937
-0.12,8.42,0.8,1.819545507
-0.77,6.92,-3,1.835174322
-1.7,6.31,-2.45,1.866396666
-1.47,7.65,-5.08,1.897685051
4.79,16.76,13.56,1.928902149
2.9,9.22,-3.69,1.94453311
0.7,16.02,2.96,1.975780964
-4.34,14.6,2.54,2.007033587
-4.55,16.49,0.85,2.033372164
1.84,12.46,-3.5,2.064663887
0.58,10.17,0.35,2.095919371
0.15,10.75,-1.3,2.127174616
1.83,10.36,-1.66,2.158385038
-2.93,9.87,2.42,2.189638853
0.22,10.7,-1.89,2.220891953
0.18,10.17,-1.51,2.252182722
-2.13,10.37,-1.29,2.283398151
0.28,9.7,-6.6,2.314687729
-2.36,10.57,2.36,2.345946074
-0.94,10.25,-2.86,2.377212286
0.5,10.11,-4.13,2.408411503
-2.78,1.7,4.87,2.43966651
-0.12,9.92,-7.57,2.470957518
0.77,9.76,-3.53,2.486581564
-1.8,8.66,-5.3,2.517837763
-2.06,9.49,-4.81,2.564715147
-0.48,9.49,-3.88,2.595968008
-4.81,10.2,-5.9,2.627225637
-1.33,8.16,-10.88,2.658438444
-4.85,6.08,-3.38,2.689692497
-7.22,8.54,0.55,2.720944881
-4.6,8.23,-3.21,2.752198458
-4.6,7.61,-1.6,2.783451796
-6.11,6.86,-4.63,2.814741611
-5.94,5.64,-7.52,2.861620903
-5.61,6.81,0.54,2.892841578
-9.12,7.66,0.45,2.924092054
-7.75,5.26,-3.77,2.955347061
-7.5,5.77,-4.96,2.970972061
-7.62,5.71,-6.12,3.002224684
-7.74,3.62,-3.64,3.0294168
-9.35,4.81,-1.23,3.060721159
-9.24,4.59,-1.88,3.091923952
-9.29,2.96,-2.87,3.123176575
-9.18,2.74,-1.07,3.154430389
-9.07,2.01,-1.6,3.185718775
-9.93,2.61,-1.83,3.232602358
-9.07,2.87,-1.76,3.263852358
-8.53,2.22,-1.22,3.295107603
-9.05,3.04,4.04,3.326323748
-10.6,3.24,1.93,3.357577085
-10.48,2.7,-1.64,3.388829708
-7.65,2.13,3.32,3.420120955
-7.96,2.59,6.91,3.451338053
-2.19,9.47,-3.46,0.296882868
-2.27,9.45,-3.47,0.328425407
-2.24,9.38,-3.45,0.359387875
-2.2,9.38,-3.25,0.390639782
-2.19,9.43,-3.25,0.453186989
-2.21,9.42,-3.4,0.500052452
-2.05,9.39,-3.35,0.53128314
-1.93,9.1,-3.24,0.546897888
-1.83,9.69,-3.32,0.578150988
-1.55,9.34,-3.26,0.609404325
-1.1,9.04,-2.93,0.638037205
-0.52,8.45,-2.52,0.669291735
0.07,7.94,-1.9,0.700544596
-0.58,7.16,-2.03,0.731798649
0.02,6.8,-2.33,0.763051748
0.88,6.05,-1.88,0.794340134
0.02,5.82,-1.84,0.825593233
0.42,6.32,-2.67,0.856813669
0.99,7.25,-2.77,0.888067007
0.12,8.37,-2.76,0.919318438
1.1,8.16,-3.42,0.950571299
1.6,8.2,-2.27,0.981860161
1.32,7.82,-2.07,1.013090372
1.74,8.8,-4.17,1.044331551
2.06,9.38,-2.49,1.075585127
2.53,8.86,-2.51,1.106837988
2.8,9.63,-2.22,1.138091564
2.27,9.78,-2.87,1.169344902
2.75,9.25,-1.71,1.200598478
3.55,9.21,-0.73,1.231851816
2.44,10.28,-2.21,1.247478247
3.5,11.68,-2.4,1.294410706
3.51,10.86,-0.56,1.309985638
2.82,10.81,-0.52,1.34123826
2.62,12.81,-1.39,1.372556448
2.8,13.03,-0.18,1.403743982
2.29,11.74,0.34,1.435032606
1.51,11,1.59,1.466250896
0.79,10.84,1.46,1.513130188
0.24,11.57,3,1.560010433
-0.21,10.84,1.55,1.606890917
-0.14,10.95,2.38,1.637194872
-0.06,10.66,2.5,1.66844821
-2.16,10.72,1.06,1.699700117
-1.29,8.03,-4.96,1.730953932
2.72,12.4,2.17,1.762206793
9.03,13.58,1.89,1.777834177
1.16,10.27,-3.27,1.809087038
-0.41,14.05,4.29,1.840340376
-2.43,12.5,4.51,1.871619463
0.28,14.44,-0.67,1.902847528
-0.63,11.43,0.06,1.93413806
1.86,11.58,-3.49,1.949725866
-0.36,11.54,0.68,1.980980396
1,10,-1.82,2.01223278
-3.27,10.42,0.4,2.043521166
-0.45,9.88,-2.85,2.074739456
-0.2,10.44,-0.56,2.106026888
-1.77,10.4,-0.29,2.137294769
1.65,10.23,-2.76,2.168499231
-1.25,9.24,-4.48,2.199753523
0.64,10.22,-2.23,2.231006384
0.42,9.98,-3.32,2.262259245
2.35,10.17,-5.96,2.293548346
-2.64,9.92,-0.71,2.309139252
-0.99,10.87,-3.62,2.34039259
1.57,8.69,-6.69,2.371727228
-1.87,9.32,-3.39,2.402905464
-5.83,8.9,-4.78,2.434153795
-2.24,9.98,-5.05,2.481032372
-0.68,10.86,3.21,2.512285948
-5.8,8.72,-3.33,2.543573618
-3.97,8.79,-4.67,2.574828148
-4.48,8.08,-4.62,2.606045246
-8.32,7.97,1.34,2.648770094
-5.17,7.76,-2.56,2.66441226
-5.42,8.47,-6.86,2.695687056
-5.97,7.06,-4.33,2.726937771
-5.94,6.56,-4.24,2.773820639
-6.99,7.03,-2.37,2.805040359
-6.01,6.62,-5.77,2.836288929
-6.91,6.25,0.04,2.86757803
-6.6,4.93,1.16,2.898833752
-7.51,5.18,0.01,2.930049658
-8.58,5.63,-1.46,2.961302996
-6.72,3.41,1.51,2.97692728
-7.42,4.13,1.47,3.008219957
-5.46,3.82,4.83,3.039435625
-9.69,3.5,4.89,3.070688248
-11.49,3.77,-0.26,3.101940632
-10.37,2.78,1.29,3.133232832
-9.08,2.35,2.97,3.164483309
-9.84,4.82,4.63,3.195700645
-10.7,3.49,1.16,3.226955652
-8.82,2.84,1.97,3.25820899
-7.5,3.87,2.93,3.28946209
-6.84,3.98,2.6,3.320772171
-7.91,3.08,2.74,3.352005482
-7.92,3.71,5.18,3.383267641
-9.08,4.04,3.08,3.41447401
-1.73,9.46,-3.25,0.359440804
-1.65,9.34,-3.27,0.387187243
-1.59,9.38,-3.29,0.418449163
-1.58,9.38,-3.26,0.465321779
-1.5,9.36,-3.28,0.4965837
-1.36,9.56,-3.05,0.543454885
-1.18,9.58,-2.9,0.559081316
-0.82,9.34,-3.14,0.590334892
-0.61,9.16,-2.92,0.621587992
-0.87,8.5,-2.77,0.652876377
-0.57,7.9,-2.43,0.684133768
-0.25,7.44,-1.65,0.715347528
0,6.54,-1.24,0.746601343
0.59,5.85,-1.33,0.777893305
0.66,6.11,-1.31,0.809108496
1.22,6.63,-1.26,0.840361118
1.17,7.72,-1.76,0.871646404
1.47,7.62,-2.21,0.90290308
1.47,7.3,-2.1,0.934121132
1.13,9.11,-2.21,0.965373755
1.45,8.91,-1.76,0.996627808
1.95,8.27,-0.64,1.027888536
1.43,7.83,-1.22,1.059134245
1.81,7.7,-0.7,1.090387106
2.49,7.47,0.34,1.12164259
2.04,8.71,0.24,1.137268305
1.58,10.5,2.01,1.168520212
1.8,13.61,-1.55,1.199775219
2.25,12.32,-0.26,1.246653318
2.72,11.84,0.83,1.262280226
1.89,12.49,-0.54,1.293534756
2.01,14.09,-0.52,1.324788332
2.05,13.02,1.69,1.356042862
1.77,12.95,3.1,1.39819479
0.22,11.32,1.79,1.429415226
0.91,9.8,0.33,1.476311922
0.84,10.34,2.4,1.50754571
-0.37,9.85,1.06,1.57005167
0.3,8.02,-5.69,1.616932631
2.77,12.16,1.9,1.648197889
9,16.98,-3.24,1.663812637
0.43,12.87,-0.39,1.695065975
-0.5,15.33,3.77,1.726319313
-1.44,12.29,1.15,1.757572174
-1.26,12.31,-3.32,1.773199797
-0.23,12.31,0.47,1.804452419
3.03,10.66,-3.84,1.835705757
0.78,10.57,-2.22,1.866959572
-0.58,10.18,-0.5,1.898212433
-0.26,9.13,-3.24,1.913957119
-0.78,10.87,-0.38,1.945092201
0.48,9.98,-3.24,1.976345301
-1.07,9.15,-0.77,2.007600307
-1.8,11.7,-4.61,2.0232265
-1.51,8.86,-3.35,2.054478884
-0.3,11.15,-2.94,2.101357937
-1.16,9.43,-5.03,2.116984129
-2.33,9.93,-1.37,2.14823842
-6.56,8.69,-2.9,2.179526329
-4.57,9.29,-2.1,2.22641325
-2.4,7.84,-1.11,2.242037535
-5.56,8,-2.72,2.273251057
-3.49,7.51,-2.87,2.304505348
-7.87,7.34,-0.5,2.335758686
-8.49,8.24,1.17,2.376785994
-5.03,8.04,-1.26,2.39449954
-6.24,7.54,-4.2,2.431976557
-6.93,7.5,-4.4,2.472114801
-5.13,5.65,-2.52,2.487739086
-8.96,6.7,-2.31,2.518954515
-7.45,7.29,-3.86,2.565835953
-6.2,5.43,-3.41,2.59708786
-8.43,5.33,-1.94,2.61273694
-8.67,4.85,-1.46,2.643972635
-8.17,4.18,-2.18,2.675223351
-8.73,3.89,0.36,2.73776412
-9.1,4.03,0.17,2.753394365
-8.19,3.6,-0.23,2.784608126
-8.19,3.99,2.31,2.815860987
-8.71,3.8,6.49,2.847148418
-9.31,3.13,1.1,2.878369331
-8.66,2.83,1.27,2.893994331
-8.21,1.76,3.27,2.925247669
-9.31,2.72,6.18,2.956535816
-8.67,3.42,6.01,3.003380775
-8.57,1.75,4.31,3.03463459
-7.65,1.85,5.87,3.050296783
-7.81,3.75,8.48,3.081515074
-8.76,1.46,2.54,3.112803698
-10.21,1.17,3.52,3.144019127
-8.96,3.4,6.06,3.175274134
-8.65,2.69,5.21,3.206527948
-8.59,2.27,4.25,3.237780571
-8.11,2.86,4.9,3.269034147
-7.96,2.39,4.92,3.300323963
-8.42,1.39,4.74,3.331575155
-8.48,1.7,5.12,3.382991314
-8.16,1.91,4.76,3.40524435
-8.33,1.66,4.49,3.43653512
-8.45,1.56,5.08,3.452162266
-1.96,9.36,-3.78,0.293282747
-1.88,9.35,-3.7,0.32448411
-1.51,9.5,-3.55,0.371050596
-1.35,9.09,-3.51,0.40230751
-1.13,9.13,-3.55,0.464851141
-0.95,8.93,-3.8,0.496061325
-0.64,9.05,-3.73,0.527351379
-0.16,9.13,-3.48,0.54297781
0.14,8.75,-3.41,0.574228764
0.34,8.64,-3.18,0.621109962
0.29,8.2,-3.42,0.652374506
0.57,7.9,-3.34,0.683581591
0.78,7.48,-2.87,0.69920969
1.07,6.88,-2.3,0.730462074
1.17,6.93,-2.1,0.761714697
1.19,6.93,-2.38,0.777342081
1.13,6.87,-2.71,0.808595419
1.42,6.78,-2.38,0.839848042
1.88,7.04,-2.02,0.871102571
1.32,6.6,-1.96,0.902355433
1.88,7.43,-2.25,0.933606625
1.66,8.58,-1.64,0.964860678
1.01,8.03,-1.66,0.996118069
1.47,8.22,-1.7,1.037965536
0.97,8.69,-1.39,1.053595543
1.5,10.22,-2.49,1.084920645
3.55,10.38,-1.16,1.131725073
4.47,11.78,-1.43,1.16298008
2.51,9.76,0.85,1.194268227
2.37,11.1,0.58,1.209893703
2.64,12.65,0.75,1.256770134
2.24,13.38,-0.46,1.288026333
1.42,12.34,-0.87,1.319245577
2.2,10.9,1.95,1.334871531
1.06,9.26,2.45,1.366164684
1.28,10.57,0.5,1.397380829
-0.12,11.76,1.63,1.428637028
0.64,8.13,-1.05,1.459884644
-1.53,10.18,-2.87,1.522391558
5.83,10.85,-2.43,1.569276333
6.23,18.54,9.09,1.600524664
-2.42,10.99,-2.12,1.631778479
-0.06,17.68,-0.05,1.663031101
0.01,19.52,-8.86,1.678667545
0.74,10.6,-0.8,1.709912062
-0.4,11.31,1.25,1.741164446
-1.14,10.09,-3.15,1.772418022
-1.31,10.67,0.16,1.803682327
-0.26,9.75,-2.49,1.819298744
0.19,9.77,-0.7,1.850611448
-0.64,9.28,-3.77,1.897460699
-1.73,10.34,-2.19,1.928684473
-1.74,9.1,-4.21,1.944323063
0.67,10.19,-2.45,1.975565672
1.83,10.63,-2.76,2.00681901
-1.08,8.87,-5.72,2.034569263
-1.94,11.11,0.05,2.06586504
-2.85,8.52,-2.98,2.097119808
-2.91,10.61,-5.74,2.128329039
-1.23,8.33,2.29,2.159621
-5.58,8.58,-7.12,2.190874577
-0.95,10.47,-8.17,2.222132206
-6.03,10.86,3.49,2.253383398
-1.43,10.96,-4.31,2.284597874
0.66,5.36,-5.42,2.315888405
-4.79,8.54,-4.35,2.347141504
-7.65,8.75,4.59,2.378411293
-4.75,5.62,0.73,2.409646511
-7.79,7.78,0.57,2.440901995
-6.93,7.7,1.13,2.472118139
-7.96,5.18,1.84,2.503370762
-9.31,6.74,3.29,2.534631014
-7.98,5.95,-1.05,2.565877199
-8.13,4.54,-1.86,2.597166777
-7.48,5.71,3.58,2.628420591
-9.65,4.57,3.61,2.65967226
