Ax,Ay,Az,time
-2.17,9.33,-3.03,0.397462774
-2.14,9.03,-2.89,0.431531012
-2.11,8.67,-2.83,0.46559925
-2.12,8.95,-3.03,0.499667487
-2.18,9.34,-3.13,0.533735725
-2.43,9.58,-3.34,0.567803963
-2.56,9.67,-2.86,0.601872201
-2.55,9.01,-2.85,0.635940438
-3.09,8.08,-2.24,0.670008676
-2.66,7.29,-2.76,0.704076914
-2.93,6.62,-2.79,0.738145152
-3.38,5.15,-2.94,0.772213389
-1.97,4.62,-2.1,0.806281627
-1.44,4.88,0.01,0.840349865
-1.29,3.84,-1.51,0.874418103
-0.95,4.64,0.19,0.90848634
-1.31,4.6,1.47,0.942554578
-2.28,5.33,1.03,0.976622816
-3.47,7.85,-0.7,1.010691054
-3.5,8.56,0.22,1.044759292
-2.42,10.65,3.35,1.078827529
-4.61,10.53,1.9,1.112895767
-2.17,11.57,0.65,1.146964005
-2.15,11.5,0.2,1.181032243
-3.27,12.77,2.77,1.21510048
-1.15,15.33,3.85,1.249168718
-2.16,13.37,4.82,1.283236956
-2.26,13.9,3.28,1.317305194
-2.11,13.45,3.88,1.351373431
-0.63,13.1,3.73,1.385441669
0.05,12.59,2.6,1.419509907
1.13,10.91,-3.93,1.453578145
1.72,15.02,1.07,1.487646383
-0.26,15.28,1.99,1.52171462
-0.85,13.79,7.12,1.555782858
-0.21,10.17,5.91,1.589851096
-2.17,8.55,4.56,1.623919334
-1.2,7.44,3.97,1.657987571
-3.16,7.55,1.22,1.692055809
-1.26,7.92,4.05,1.726124047
-2.45,8.1,6.21,1.760192285
-2.42,9.69,4.62,1.794260522
-1.62,9.17,4.22,1.82832876
-2.92,10.82,5.86,1.862396998
-0.71,8.95,4.62,1.896465236
-2.55,8.12,6.02,1.930533474
-4.03,11.27,6.4,1.964601711
-2.42,7.56,4.26,1.998669949
-2.94,8.1,4.87,2.032738187
-4.78,8.88,4.89,2.066806425
-3.13,8.37,5.44,2.100874662
-3.46,8.62,4.38,2.1349429
-3.15,8.48,4.93,2.169011138
-3.14,7.79,4.23,2.203079376
-3.88,9.17,4.97,2.237147613
-5.21,7.89,4.44,2.271215851
-4.74,8.55,4.57,2.305284089
-3.65,7.9,4.56,2.339352327
-3.61,7.51,4.13,2.373420565
-3.79,7.65,3.82,2.407488802
-4.25,7.7,4.33,2.44155704
-4.89,7.53,4.63,2.475625278
-5.31,7.61,4.31,2.509693516
-6.18,7.21,5.23,2.543761753
-4.9,5.6,3.02,2.577829991
-5.18,6.69,4.97,2.611898229
-4.75,7.26,7.09,2.645966467
-5.54,4.26,4.52,2.680034704
-6.27,6,5.5,2.714102942
-7.58,6.13,7.64,2.74817118
-4.4,4.63,7.66,2.782239418
-4.11,5.19,6.48,2.816307656
-5.88,4.85,9.91,2.850375893
-6.32,3.14,7.68,2.884444131
-8.03,5.68,6.61,2.918512369
-4.97,3.94,6.88,2.952580607
-2.59,2.64,10.22,2.986648844
-3.11,1.35,10.08,3.020717082
-4.07,0.36,8.4,3.05478532
-3.04,-0.92,6.55,3.088853558
-2.94,-2.41,8.89,3.122921795
-4.85,1.98,8.7,3.156990033
-3.34,4.01,9.83,3.191058271
-2.61,5.07,9.91,3.225126509
-7.23,6.31,6.96,3.259194747
-7.86,2.45,3.65,3.293262984
-5.67,3.58,7.92,3.327331222
-5.77,1.16,7.56,3.36139946
-5.04,1.5,9.01,3.395467698
-4.98,1.47,8.67,3.429535935
-5.64,1.32,7.6,3.463604173
-6.19,0.91,7.86,3.497672411
-4.73,2.33,8.73,3.531740649
-3.96,2.34,8.81,3.565808886
-4.75,2.05,8.95,3.599877124
-4.64,1.93,8,3.633945362
-4.38,2.27,9.01,3.6680136
-4.01,2.69,9.24,3.702081838
-3.96,2.54,8.85,3.736150075
-4.72,2.32,8.39,3.770218313
-2.87,8.73,-2.87,0.400495662
-3.01,8.47,-2.74,0.434823862
-2.96,8.86,-3.06,0.469152062
-3.22,9.3,-2.66,0.503480261
-3.49,8.94,-1.8,0.537808461
-2.92,8.67,-1.44,0.572136661
-2.92,8.49,-1.03,0.60646486
-3.04,7.7,-0.94,0.64079306
-2.85,6.9,-0.31,0.675121259
-2.61,5.8,-0.81,0.709449459
-2.53,5.02,-0.8,0.743777659
-2.21,4.92,-0.56,0.778105858
-1.99,4.93,-1.24,0.812434058
-2.85,4.97,-0.74,0.846762258
-3.07,6.98,-1.07,0.881090457
-3.18,7.55,-1.55,0.915418657
-3.96,8.21,-1.33,0.949746856
-3.62,9.63,-0.35,0.984075056
-3.51,9.31,-0.12,1.018403256
-3.66,9.96,-0.57,1.052731455
-3.35,10.38,0.66,1.087059655
-2.95,11.17,1.11,1.121387855
-3.16,11.88,1.97,1.155716054
-2.93,11.95,3.2,1.190044254
-2.91,11.96,2.27,1.224372454
-2.97,11.57,2.38,1.258700653
-3.05,11.92,2.23,1.293028853
-3.47,12.44,3.18,1.327357052
-3,12.32,2.22,1.361685252
-2.57,11.79,4.61,1.396013452
-2.93,11.51,2.61,1.430341651
0.61,12.69,3.34,1.464669851
0.14,12.79,1.77,1.498998051
-0.02,11.26,-2.5,1.53332625
0.98,9.44,3,1.56765445
-5.1,10.5,8.36,1.601982649
-1.31,9.47,4.69,1.636310849
-1.1,9.62,4.5,1.670639049
-3.28,9.33,4.33,1.704967248
-3.78,7.77,7.76,1.739295448
-3.52,11.69,6.02,1.773623648
-3.27,7.78,3.96,1.807951847
-2.69,8.87,5.72,1.842280047
-3.36,9.8,3.32,1.876608247
-2.87,6.87,2.92,1.910936446
-1.62,7.72,4.54,1.945264646
-5.18,9.03,4.36,1.979592845
-1.57,8.16,4.57,2.013921045
-4.06,9.12,4.41,2.048249245
-3.74,8.3,4.95,2.082577444
